 , AL00, AT00, BA00, BE00, BG00, CH00, CY00, CZ00, DE00, DEKF, DKE1, DKKF, DKW1, EE00, ES00, FI00, FR00, GR00, GR03, HR00, HU00, IE00, ITCA, ITCN, ITCS, ITN1, ITS1, ITSA, ITSI, LT00, LUG1, LV00, ME00, MK00, MT00, NL00, NOM1, NON1, NOS0, PL00, PT00, RO00, RS00, SE01, SE02, SE03, SE04, SI00, SK00, TR00, UA01, UK00, UKNI
Nuclear, 0, 0, 0, 0, 1960, 2930, 0, 4055, 0, 0, 0, 0, 0, 0, 7117, 4394, 61761, 0, 0, 0, 1900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 486, 0, 0, 0, 0, 0, 1300, 0, 0, 0, 6835, 0, 703, 2699, 0, 0, 7149, 0
Lignite, 0, 0, 1928, 0, 3146, 0, 0, 5263, 14441, 0, 0, 0, 0, 0, 0, 0, 0, 660, 0, 0, 679, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450, 410, 0, 0, 0, 0, 0, 7433, 0, 3073, 5488, 0, 0, 0, 0, 844, 93, 7898, 0, 0, 0
Hard Coal, 0, 0, 0, 0, 318, 0, 0, 368, 11140, 0, 100, 0, 740, 0, 2015, 717, 0, 0, 0, 290, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2671, 0, 0, 0, 15128, 0, 412, 0, 0, 0, 0, 0, 45, 542, 8081, 2198, 0, 0
Gas , 100, 3416, 0, 7816, 1973, 0, 1210, 1255, 21159, 0, 167, 0, 670, 0, 24499, 1148, 7189, 6861, 0, 547, 2165, 4109, 3506, 1062, 6687, 23295, 4042, 590, 3046, 452, 0, 949, 0, 277, 327, 12913, 0, 0, 0, 4001, 3829, 2835, 401, 0, 54, 324, 0, 600, 712, 25447, 0, 30606, 1013
Oil, 0, 168, 0, 158, 0, 0, 288, 0, 1059, 0, 617, 0, 223, 427, 0, 0, 1331, 0, 408, 0, 0, 324, 0, 0, 0, 0, 0, 0, 866, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 342, 13, 371, 389
Hydro - Run of River & Pondage (Turbine Capacity), 390, 6130, 270, 134, 463, 4113, 0, 422, 4036, 0, 0, 0, 0, 0, 3350, 0, 13600, 363, 0, 425, 55, 216, 140, 292, 623, 4726, 0, 82, 66, 128, 75, 1571, 40, 79, 0, 43, 0, 0, 0, 507, 998, 3375, 2163, 0, 0, 0, 0, 1155, 1536, 10213, 0, 1938, 0
Hydro - Units with reservoir (Turbine Capacity), 1934, 6617, 2035, 1395, 2753, 12141, 0, 1856, 9391, 0, 0, 0, 0, 0, 19697, 3200, 12277, 4040, 0, 1653, 0, 292, 1482, 341, 4042, 12146, 633, 382, 1253, 800, 0, 0, 649, 502, 0, 0, 4931, 5540, 24000, 1686, 7598, 3346, 1265, 5444, 8075, 2583, 345, 180, 926, 25200, 0, 2744, 0
Wind Onshore, 100, 5500, 335, 3442, 749, 180, 198, 619, 70501, 0, 728, 0, 4354, 536, 39226, 6859, 25920, 4694, 222, 2242, 326, 5320, 1688, 224, 3484, 150, 6172, 1332, 2606, 1506, 400, 98, 168, 156, 0, 5709, 1606, 2067, 1591, 8517, 6890, 3500, 3417, 3567, 5668, 3126, 2136, 70, 247, 12917, 200, 13709, 1660
Wind Offshore, 0, 0, 0, 2253, 0, 0, 0, 0, 10745, 336, 503, 605, 1673, 0, 0, 42, 3000, 0, 0, 0, 0, 30, 0, 0, 0, 0, 90, 0, 210, 0, 0, 51, 0, 0, 0, 5157, 0, 0, 0, 0, 126, 0, 0, 0, 0, 334, 262, 0, 0, 0, 0, 17653, 0
Solar (Thermal), 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4801, 0, 0, 0, 70, 100, 0, 0, 0, 0, 0, 0, 80, 0, 170, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 0
Solar (Photovoltaic), 300, 5000, 300, 7193, 1785, 4000, 468, 2602, 73300, 0, 1264, 0, 1833, 260, 21063, 460, 23100, 4805, 159, 300, 3777, 300, 899, 2426, 4850, 11254, 5296, 1209, 2365, 625, 320, 6, 20, 173, 237, 10900, 0, 0, 0, 4935, 6148, 1500, 13, 4, 69, 1661, 621, 952, 861, 10750, 0, 14732, 510
Others renewable, 0, 601, 0, 454, 253, 907, 15, 808, 7935, 0, 20, 0, 109, 149, 1090, 2783, 2205, 15, 0, 200, 424, 84, 180, 1097, 471, 2059, 463, 93, 129, 213, 46, 151, 36, 30, 0, 540, 0, 40, 36, 1564, 1032, 250, 105, 287, 724, 2384, 691, 47, 365, 1984, 41, 4637, 43
Others non-renewable, 0, 953, 0, 1324, 0, 830, 0, 1764, 12875, 0, 117, 0, 352, 155, 4825, 3377, 10764, 0, 0, 200, 276, 138, 24, 1243, 1454, 3861, 1589, 301, 786, 125, 100, 0, 0, 0, 0, 4354, 20, 195, 50, 6396, 776, 0, 0, 0, 0, 0, 0, 152, 111, 1235, 0, 7307, 9
Biofuel, 0, 0, 0, 541, 0, 0, 0, 0, 0, 0, 1169, 0, 862, 233, 0, 1179, 0, 0, 0, 0, 181, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1335, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 3969, 18
