AL_load_actual_entsoe_power_statistics,AT_load_actual_entsoe_power_statistics,BA_load_actual_entsoe_power_statistics,BE_load_actual_entsoe_power_statistics,BG_load_actual_entsoe_power_statistics,CH_load_actual_entsoe_power_statistics,CY_load_actual_entsoe_power_statistics,CZ_load_actual_entsoe_power_statistics,DE_load_actual_entsoe_power_statistics,DK_load_actual_entsoe_power_statistics,EE_load_actual_entsoe_power_statistics,ES_load_actual_entsoe_power_statistics,FI_load_actual_entsoe_power_statistics,FR_load_actual_entsoe_power_statistics,GR_load_actual_entsoe_power_statistics,HR_load_actual_entsoe_power_statistics,HU_load_actual_entsoe_power_statistics,IE_load_actual_entsoe_power_statistics,IT_load_actual_entsoe_power_statistics,LT_load_actual_entsoe_power_statistics,LU_load_actual_entsoe_power_statistics,LV_load_actual_entsoe_power_statistics,ME_load_actual_entsoe_power_statistics,MK_load_actual_entsoe_power_statistics,NL_load_actual_entsoe_power_statistics,NO_load_actual_entsoe_power_statistics,PL_load_actual_entsoe_power_statistics,PT_load_actual_entsoe_power_statistics,RO_load_actual_entsoe_power_statistics,RS_load_actual_entsoe_power_statistics,SE_load_actual_entsoe_power_statistics,SI_load_actual_entsoe_power_statistics,SK_load_actual_entsoe_power_statistics,TR_load_actual_entsoe_power_statistics,UK_UKM_load_actual_entsoe_power_statistics
,7096,1495.5,9734,4803.21,6745,552.68,6344,48811.2449,3111.1,755.9,24401,9715.94,72916,5741,1967,4150.24,2990.13,26426,1081,470.04,660,456,1203,11547,14911.72,14310.20408,4661,5811,5762,13936,1216,3083.21,27223.06,37253.67
830,6828,1410.32,9401,4579.17,7106,530.53,6274,47541.91837,3292.6,726.2,23393,9447.57,72169,5617,1830,4032.87,2832.7,25352,1031,450.08,619,436.86,1146,11340,14785.92,13729.59184,4875,5565,5775,13638,1183,2960.92,25825.9,35395
700,6602,1337.67,8987,4423.49,7184,483.84,6226,45920.71429,3126.8,701.6,21909,9279.24,69699,5330,1805,3776.54,2616.74,23866,992,441.72,595,405.71,1068,10915,14637.88,13142.85714,4561,5401,5409,13411,1144,2871.22,24252.68,34535.5
610,6340,1274.69,8615,4331.2,7100,445.18,6137,44541.15306,3022.7,684.3,20615,9280.29,66467,5070,1865,3581.92,2426.58,21966,962,427.08,582,374.75,996,10568,14441.63,12698.97959,4271,5302,5080,13252,1104,2834.58,22915.47,32099.38
580,6313,1238.14,8314,4286.46,6878,423.97,6066,43515.10204,2916.7,681.8,19628,9305.8,64286,4965,1819,3515.54,2294.97,20948,960,418.64,585,354.24,942,10343,14392.25,12437.7551,4092,5291,4844,13213,1087,2831.53,22356.99,29884.5
580,6432,1240.78,8182,4281.55,6736,413.56,6046,42476.16327,2889.7,685.8,19252,9453.35,63972,4994,1828,3556.43,2222.95,20991,980,418.33,596,346.12,913,10317,14530.01,12427.55102,3998,5270,4628,13293,1095,2839.8,22274.49,28382.13
640,6435,1260.34,8210,4353.29,6366,395.38,6061,41107.59184,2867.7,701.7,19351,9492.83,63816,5065,1865,3643.01,2179.64,21828,1003,367.97,612,351.27,915,10433,14825.71,12540.81633,3980,5255,4612,13514,1137,2853.54,22388.61,27821.13
770,6859,1306.4,8062,4557.79,6066,398.14,6072,41291.19388,2962.4,726.9,19691,9700.94,64142,5240,1847,3715.01,2218.39,22121,1015,376.89,616,367.01,910,10731,14964.23,12407.14286,3849,5213,4560,13822,1187,2867.4,22608.23,28191.13
940,7182,1431.29,8169,4798.58,6490,411.98,6083,42070.97959,3049.2,727.3,19600,9742.96,64358,5731,1726,3867.32,2264.7,22432,1036,381.99,615,404.72,961,11039,15253.19,12439.79592,3818,5225,4736,14190,1243,2932.32,22547.94,28857.13
1050,7452,1541.4,8405,4951.31,6656,433.95,6564,44522.11224,3207,767.2,20238,9849.81,66343,6311,1889,4106.87,2276.86,23917,1111,385.76,648,436.56,1031,11386,15702.31,13089.79592,4171,5216,4975,14505,1314,3135.07,23844.14,30660.38
1100,7673,1619.23,8704,4991.78,6644,446.98,6853,46810.26531,3428.5,806.3,22001,10043.1,68083,6752,2005,4259.94,2444.33,25454,1181,405.28,682,457.75,1098,12014,16201.97,13774.4898,4633,5174,5184,15113,1390,3199.75,25667.71,33947.38
1090,7701,1646.43,9007,4959.98,6345,462.14,6913,49243.47959,3575.6,826.6,23417,10190.43,69505,6838,2052,4374.83,2732.61,26674,1215,430.08,711,460.54,1149,12531,16449.31,14273.46939,5049,5174,5287,15579,1390,3284.02,27186.13,37644.75
1080,7493,1644.86,9274,4825.79,6724,462.76,6880,50048.34694,3633,844.1,24064,10221.23,71717,6508,2004,4417.26,2973.85,27404,1226,445.68,721,453.16,1164,12880,16569.52,14593.87755,5221,5152,5287,15851,1386,3253.73,28002.6,40508.25
1060,7399,1608.41,9318,4698.26,6681,464.07,6938,49245.28571,3591.3,853.4,24655,10316.68,69010,5915,1882,4347.93,3128.53,25764,1230,437.49,726,443.06,1153,12994,16515.7,14954.08163,4992,5165,5198,16072,1316,3218.49,28618.02,42483.75
1030,7365,1575.43,9143,4699.9,6397,472.38,7057,48596.67347,3567.8,882.6,24680,10608.12,66431,5890,1800,4340.65,3156.17,24274,1248,427.23,743,434.17,1140,13032,16687.84,14894.89796,4779,5230,5093,16384,1307,3155.28,28694.9,42778.13
